zip,primary_city,acceptable_cities,state,county,latitude,longitude
14224,Buffalo,West Seneca,NY,Erie County,42.88,-78.85
14225,Buffalo,Cheektowaga,NY,Erie County,42.88,-78.85
14226,Buffalo,"Amherst, Eggertsville, Snyder",NY,Erie County,42.88,-78.85
14227,Buffalo,"Cheektowaga, S Cheek, South Cheektowaga",NY,Erie County,42.88,-78.85
14228,Buffalo,"Amherst, W Amherst, West Amherst",NY,Erie County,42.88,-78.85
14280,Buffalo,,NY,Erie County,42.88,-78.85
14301,Niagara Falls,,NY,Niagara County,43.09,-79.01
14303,Niagara Falls,,NY,Niagara County,43.09,-79.01
14304,Niagara Falls,,NY,Niagara County,43.09,-79.01
14305,Niagara Falls,,NY,Niagara County,43.09,-79.01
14411,Albion,Eagle Harbor,NY,Orleans County,43.24,-78.18
14414,Avon,,NY,Livingston County,42.91,-77.74
14415,Bellona,,NY,Yates County,42.75,-77.01
14416,Bergen,,NY,Genesee County,43.08,-77.94
14418,Branchport,,NY,Yates County,42.59,-77.15
14420,Brockport,,NY,Monroe County,43.21,-77.94
14422,Byron,,NY,Genesee County,43.07,-78.06
14423,Caledonia,,NY,Livingston County,42.97,-77.85
14424,Canandaigua,,NY,Ontario County,42.88,-77.28
14425,Farmington,Canandaigua,NY,Ontario County,42.95,-77.32
14427,Castile,,NY,Wyoming County,42.63,-78.05
14428,Churchville,Clifton,NY,Monroe County,43.1,-77.88
14432,Clifton Springs,Clifton Spgs,NY,Ontario County,42.95,-77.13
14433,Clyde,,NY,Wayne County,43.08,-76.87
14435,Conesus,,NY,Livingston County,42.71,-77.66
14437,Dansville,,NY,Livingston County,42.56,-77.69
14441,Dresden,,NY,Yates County,42.68,-76.95
14445,East Rochester,E Rochester,NY,Monroe County,43.11,-77.48
14450,Fairport,,NY,Monroe County,43.1,-77.44
14454,Geneseo,,NY,Livingston County,42.79,-77.81
14456,Geneva,,NY,Ontario County,42.86,-76.98
14462,Groveland,,NY,Livingston County,42.68,-77.74
14464,Hamlin,,NY,Monroe County,43.32,-77.93
14466,Hemlock,,NY,Ontario County,42.77,-77.58
14467,Henrietta,,NY,Monroe County,43.04,-77.61
14468,Hilton,,NY,Monroe County,43.28,-77.79
14469,Bloomfield,,NY,Ontario County,42.87,-77.46
14470,Holley,Hulberton,NY,Orleans County,43.22,-78.02
14471,Honeoye,,NY,Ontario County,42.75,-77.49
14472,Honeoye Falls,,NY,Monroe County,42.95,-77.59
14475,Ionia,,NY,Ontario County,42.93,-77.49
14476,Kendall,,NY,Orleans County,43.32,-78.03
14477,Kent,,NY,Orleans County,43.33,-78.13
14478,Keuka Park,Bluff Point,NY,Yates County,42.61,-77.09
14479,Knowlesville,,NY,Orleans County,43.21,-78.38
14480,Lakeville,,NY,Livingston County,42.82,-77.71
14481,Leicester,,NY,Livingston County,42.77,-77.89
14482,Le Roy,,NY,Genesee County,42.97,-77.99
14485,Lima,,NY,Livingston County,42.9,-77.61
14486,Linwood,,NY,Livingston County,42.9,-77.91
14487,Livonia,,NY,Livingston County,42.82,-77.66
14489,Lyons,,NY,Wayne County,43.06,-76.99
14502,Macedon,,NY,Wayne County,43.06,-77.3
14504,Manchester,,NY,Ontario County,42.96,-77.23
14505,Marion,,NY,Wayne County,43.16,-77.17
14506,Mendon,,NY,Monroe County,42.99,-77.49
14507,Middlesex,,NY,Yates County,42.7,-77.27
14510,Mount Morris,Tuscarora,NY,Livingston County,42.72,-77.87
14512,Naples,,NY,Ontario County,42.61,-77.4
14513,Newark,East Palmyra,NY,Wayne County,43.04,-77.09
14514,North Chili,,NY,Monroe County,43.11,-77.8
14516,North Rose,,NY,Wayne County,43.2,-76.91
14517,Nunda,,NY,Livingston County,42.58,-77.93
14519,Ontario,,NY,Wayne County,43.22,-77.31
14521,Ovid,Hayt Corners,NY,Seneca County,42.67,-76.82
14522,Palmyra,,NY,Wayne County,43.06,-77.23
14525,Pavilion,,NY,Genesee County,42.87,-77.99
14526,Penfield,,NY,Monroe County,43.15,-77.44
14527,Penn Yan,,NY,Yates County,42.66,-77.05
14530,Perry,,NY,Wyoming County,42.71,-78
14532,Phelps,,NY,Ontario County,42.95,-77.06
14533,Piffard,Wadsworth,NY,Livingston County,42.84,-77.88
14534,Pittsford,,NY,Monroe County,43.09,-77.51
14536,Portageville,Rossburg,NY,Wyoming County,42.55,-78.09
14541,Romulus,Mac Dougall,NY,Seneca County,42.75,-76.83
14543,Rush,"Industry, West Rush",NY,Monroe County,42.98,-77.67
14544,Rushville,,NY,Yates County,42.76,-77.22
14545,Scottsburg,Groveland,NY,Livingston County,42.65,-77.68
14546,Scottsville,,NY,Monroe County,43.02,-77.75
14548,Shortsville,,NY,Ontario County,42.95,-77.22
